event_id,event_name,event_type,event_date,day,Date,Close,return_from_day_0,SPY_Close,SPY_return_from_day_0,abnormal_return
TSLA_001,Q4 2022 Earnings,Earnings,2023-01-25,0,2023-01-24,143.88999938964844,0.0,382.6648864746094,0.0,0.0
TSLA_001,Q4 2022 Earnings,Earnings,2023-01-25,1,2023-01-25,144.42999267578125,0.3752820129427681,382.8082580566406,0.03746661559467235,0.33781539734809574
TSLA_001,Q4 2022 Earnings,Earnings,2023-01-25,2,2023-01-26,160.27000427246094,11.383699320517815,387.015380859375,1.136894065417282,10.246805255100533
TSLA_001,Q4 2022 Earnings,Earnings,2023-01-25,3,2023-01-27,177.89999389648438,23.636107200708388,387.90472412109375,1.3693019223053327,22.266805278403055
TSLA_001,Q4 2022 Earnings,Earnings,2023-01-25,4,2023-01-30,166.66000366210938,15.824591263497512,383.0377502441406,0.0974387205908478,15.727152542906664
TSLA_001,Q4 2022 Earnings,Earnings,2023-01-25,5,2023-01-31,173.22000122070312,20.38362774026443,388.669677734375,1.5692036222832328,18.814424117981197
TSLA_002,Q1 2023 Earnings,Earnings,2023-04-19,0,2023-04-18,184.30999755859372,0.0,397.5724792480469,0.0,0.0
TSLA_002,Q1 2023 Earnings,Earnings,2023-04-19,1,2023-04-19,180.58999633789065,-2.0183393575926023,397.50531005859375,-0.016894828731650602,-2.0014445288609517
TSLA_002,Q1 2023 Earnings,Earnings,2023-04-19,2,2023-04-20,162.99000549316406,-11.56746370128503,395.3360595703125,-0.5625187341850801,-11.00494496709995
TSLA_002,Q1 2023 Earnings,Earnings,2023-04-19,3,2023-04-21,165.0800018310547,-10.433506582531237,395.6432495117188,-0.48525233436100823,-9.94825424817023
TSLA_002,Q1 2023 Earnings,Earnings,2023-04-19,4,2023-04-24,162.5500030517578,-11.806193258679965,396.0559997558594,-0.3814347248219274,-11.424758533858038
TSLA_002,Q1 2023 Earnings,Earnings,2023-04-19,5,2023-04-25,160.6699981689453,-12.826216538868461,389.7690124511719,-1.9627784125385572,-10.863438126329903
TSLA_003,Q4 2023 Earnings,Earnings,2024-01-24,0,2024-01-23,209.13999938964844,0.0,470.66162109375,0.0,0.0
TSLA_003,Q4 2023 Earnings,Earnings,2024-01-24,1,2024-01-24,207.8300018310547,-0.6263735117226887,471.1761474609375,0.10931980516954987,-0.7356933168922386
TSLA_003,Q4 2023 Earnings,Earnings,2024-01-24,2,2024-01-25,182.6300048828125,-12.67571702409983,473.7388305664063,0.6538050554250274,-13.329522079524857
TSLA_003,Q4 2023 Earnings,Earnings,2024-01-24,3,2024-01-26,183.25,-12.379267220620394,473.136962890625,0.5259281160683305,-12.905195336688724
TSLA_003,Q4 2023 Earnings,Earnings,2024-01-24,4,2024-01-29,190.92999267578125,-8.707089398016176,476.8839721679688,1.3220434374400458,-10.029132835456222
TSLA_003,Q4 2023 Earnings,Earnings,2024-01-24,5,2024-01-30,191.58999633789065,-8.391509564394894,476.5151062011719,1.243671641171673,-9.635181205566568
TSLA_004,Q1 2024 Earnings,Earnings,2024-04-23,0,2024-04-22,142.0500030517578,0.0,486.5937194824219,0.0,0.0
TSLA_004,Q1 2024 Earnings,Earnings,2024-04-23,1,2024-04-23,144.67999267578125,1.8514534090260826,492.3679504394531,1.1866636838578914,0.6647897251681911
TSLA_004,Q1 2024 Earnings,Earnings,2024-04-23,2,2024-04-24,162.1300048828125,14.135868637565796,492.13421630859375,1.1386289227212298,12.997239714844566
TSLA_004,Q1 2024 Earnings,Earnings,2024-04-23,3,2024-04-25,170.17999267578125,19.802878577745542,490.2646484375,0.7544135503809724,19.04846502736457
TSLA_004,Q1 2024 Earnings,Earnings,2024-04-23,4,2024-04-26,168.2899932861328,18.47236161256125,494.9093627929688,1.7089499879678005,16.763411624593452
TSLA_004,Q1 2024 Earnings,Earnings,2024-04-23,5,2024-04-29,194.0500030517578,36.60682779503575,496.662109375,2.0691573872526847,34.53767040778306
TSLA_005,Cybertruck Unveiled,Product Launch,2019-11-21,0,2019-11-20,23.481332778930664,0.0,281.886962890625,0.0,0.0
TSLA_005,Cybertruck Unveiled,Product Launch,2019-11-21,1,2019-11-21,23.655332565307617,0.741013246629163,281.4333801269531,-0.1609094507318054,0.9019226973609684
TSLA_005,Cybertruck Unveiled,Product Launch,2019-11-21,2,2019-11-22,22.202667236328125,-5.445455565238866,282.059326171875,0.06114624084863074,-5.506601806087497
TSLA_005,Cybertruck Unveiled,Product Launch,2019-11-21,3,2019-11-25,22.422666549682617,-4.5085440388544225,284.2453918457031,0.836657691045195,-5.3452017298996175
TSLA_005,Cybertruck Unveiled,Product Launch,2019-11-21,4,2019-11-26,21.92799949645996,-6.615183631588739,284.88934326171875,1.0651008263403483,-7.680284457929087
TSLA_005,Cybertruck Unveiled,Product Launch,2019-11-21,5,2019-11-27,22.086000442504883,-5.942304679050359,286.1592712402344,1.5156104793917269,-7.457915158442086
TSLA_006,Model S Plaid Delivery Event,Product Launch,2021-06-10,0,2021-06-09,199.5933380126953,0.0,392.8019104003906,0.0,0.0
TSLA_006,Model S Plaid Delivery Event,Product Launch,2021-06-10,1,2021-06-10,203.3733367919922,1.8938501740255687,394.6278076171875,0.4648391895384796,1.429010984487089
TSLA_006,Model S Plaid Delivery Event,Product Launch,2021-06-10,2,2021-06-11,203.29666137695312,1.8554343552399821,395.2799682617188,0.630867059379181,1.2245672958608012
TSLA_006,Model S Plaid Delivery Event,Product Launch,2021-06-10,3,2021-06-14,205.89666748046875,3.158086101737778,396.1650085449219,0.8561817179308484,2.3019043838069297
TSLA_006,Model S Plaid Delivery Event,Product Launch,2021-06-10,4,2021-06-15,199.7866668701172,0.09686137791311555,395.4383850097656,0.6711969925725647,-0.5743356146594492
